0,Toll the Dead,Погребальный звон,necromancy,XGTE
0,Infestation,Нашествие,conjuration,XGTE
0,Primal Savagery,Первобытная дикость,transmutation,XGTE
0,Shape Water,Манипулирование водой,transmutation,"TOEE, XGTE"
0,Create Bonfire,Создать костер,conjuration,"TOEE, XGTE"
0,Eldritch Blast,Мистический выстрел,evocation,PHB
0,Blade Ward,Защита от оружия,abjuration,PHB
0,Chill Touch,Леденящее прикосновение,necromancy,PHB
0,Dancing Lights,Танцующие огоньки,evocation,PHB
0,Fire Bolt,Огненная стрела,evocation,PHB
0,Friends,Друзья,enchantment,PHB
0,Light,Свет,evocation,PHB
0,Mage Hand,Волшебная рука,conjuration,PHB
0,Mending,Починка,transmutation,PHB
0,Message,Сообщение,transmutation,PHB
0,Minor Illusion,Малая иллюзия,illusion,PHB
0,Poison Spray,Ядовитые брызги,conjuration,PHB
0,Prestidigitation,Фокусы,transmutation,PHB
0,Ray of Frost,Луч холода,evocation,PHB
0,Shocking Grasp,Электрошок,evocation,PHB
0,True Strike,Меткий удар,divination,PHB
0,Control Flames,Управление пламенем,transmutation,"TOEE, XGTE"
0,Spare the Dying,Жалость к умирающим,necromancy,PHB
0,Mold Earth,Изменить землю,transmutation,"TOEE, XGTE"
0,Acid Splash,Кислотные брызги,conjuration,PHB
0,Vicious Mockery,Злая насмешка,enchantment,PHB
0,Sacred Flame,Священное пламя,evocation,PHB
0,Resistance,Сопротивление,abjuration,PHB
0,Guidance,Указание,divination,PHB
0,Thaumaturgy,Волшебство,transmutation,PHB
0,Magic Stone,Волшебный камень,transmutation,"TOEE, XGTE"
0,Thunderclap,Удар грома,evocation,"TOEE, XGTE"
0,Gust,Шквал,transmutation,"TOEE, XGTE"
0,Thorn Whip,Шипастый кнут,transmutation,PHB
0,Shillelagh,Дубинка,transmutation,PHB
0,Sword Burst,Вспышка мечей,conjuration,TCoE
0,Produce Flame,Сотворение пламени,conjuration,PHB
0,Mind Sliver,Расщепление разума,enchantment,TCoE
0,Lightning Lure,Лассо молнии,evocation,TCoE
0,Green-Flame Blade,Клинок зелёного пламени,evocation,TCoE
0,Booming Blade,Громовой клинок,evocation,TCoE
0,Druidcraft,Искусство друидов,transmutation,PHB
0,Word of Radiance,Слово сияния,evocation,XGTE
0,Frostbite,Обморожение,evocation,"TOEE, XGTE"
1,Longstrider,Скороход,transmutation,PHB
1,Wrathful Smite,Гневный удар,evocation,PHB
1,Mage Armor,Доспехи мага,abjuration,PHB
1,Magic Missile,Магическая стрела,evocation,PHB
1,Protection from Evil and Good,Защита от Зла и Добра,abjuration,PHB
1,Goodberry,Добряника,transmutation,PHB
1,Entangle,Опутывание,conjuration,PHB
1,Ray of Sickness,Луч болезни,necromancy,PHB
1,Shield,Щит,abjuration,PHB
1,Silent Image,Безмолвный образ,illusion,PHB
1,Sleep,Сон,enchantment,PHB
1,Tasha's Hideous Laughter,Истеричный смех Таши,enchantment,PHB
1,Tenser's Floating Disk,Тензеров парящий диск,conjuration,PHB
1,Alarm,Тревога,abjuration,PHB
1,Burning Hands,Горящие руки,evocation,PHB
1,Charm Person,Очаровать персону,enchantment,PHB
1,Chromatic Orb,Разноцветный шар,evocation,PHB
1,Color Spray,Разноцветные брызги,illusion,PHB
1,Comprehend Languages,Понимание языков,divination,PHB
1,Detect Magic,Обнаружение магии,divination,PHB
1,Disguise Self,Маскировка,illusion,PHB
1,Expeditious Retreat,Поспешное отступление,transmutation,PHB
1,False Life,Псевдожизнь,necromancy,PHB
1,Feather Fall,Медленное падение,transmutation,PHB
1,Find Familiar,Призыв фамильяра,conjuration,PHB
1,Thunderwave,Громовая волна,evocation,PHB
1,Tasha's Caustic Brew,Едкое варево Таши,conjuration,TCoE
